End date,"8/16/2018"
Specimen label,"D60L40N5d4"
Maximum Load,"11.33875",N
Extension at Maximum Load,"283.00095",mm
Maximum Slope (Automatic Young's),"0.04222",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"45.90000","22.95105","0.98223"
"46.00000","23.00097","0.98361"
"46.10000","23.05096","0.98663"
"46.20000","23.10100","0.98987"
"46.30000","23.15093","0.99091"
"46.40000","23.20091","0.99351"
"46.50000","23.25095","0.99549"
"46.60000","23.30094","0.99807"
"46.70000","23.35098","0.99830"
"46.80000","23.40108","1.00068"
"46.90000","23.45089","1.00396"
"47.00000","23.50099","1.00497"
"47.10000","23.55092","1.00895"
"47.20000","23.60096","1.01143"
"47.30000","23.65083","1.01130"
"47.40000","23.70093","1.01323"
"47.50000","23.75097","1.01509"
"47.60000","23.80096","1.01673"
"47.70000","23.85094","1.01782"
"47.80000","23.90092","1.01901"
"47.90000","23.95091","1.01930"
"48.00000","24.00089","1.02256"
"48.10000","24.05106","1.02408"
"48.20000","24.10092","1.02345"
"48.30000","24.15102","1.02315"
"48.40000","24.20095","1.02458"
"48.50000","24.25093","1.02768"
"48.60000","24.30098","1.02989"
"48.70000","24.35090","1.03419"
"48.80000","24.40095","1.03713"
"48.90000","24.45099","1.03623"
"49.00000","24.50097","1.03489"
"49.10000","24.55096","1.03858"
"49.20000","24.60100","1.04008"
"49.30000","24.65086","1.04119"
"49.40000","24.70109","1.04397"
"49.50000","24.75095","1.04517"
"49.60000","24.80088","1.04899"
"49.70000","24.85092","1.05242"
"49.80000","24.90103","1.05319"
"49.90000","24.95107","1.05479"
"50.00000","25.00099","1.05790"
"50.10000","25.05092","1.06088"
"50.20000","25.10096","1.06325"
"50.30000","25.15089","1.06496"
"50.40000","25.20093","1.06683"
"50.50000","25.25103","1.06902"
"50.60000","25.30096","1.07124"
"50.70000","25.35100","1.07364"
"50.80000","25.40086","1.07641"
"50.90000","25.45091","1.07906"
"51.00000","25.50095","1.08021"
"51.10000","25.55106","1.08331"
"51.20000","25.60086","1.08471"
"51.30000","25.65091","1.08703"
"51.40000","25.70095","1.09034"
"51.50000","25.75093","1.09370"
"51.60000","25.80104","1.09633"
"51.70000","25.85096","1.09920"
"51.80000","25.90095","1.10122"
"51.90000","25.95093","1.10299"
"52.00000","26.00103","1.10436"
"52.10000","26.05096","1.10950"
"52.20000","26.10100","1.11201"
