End date,"8/16/2018"
Specimen label,"D32L50N5d7-6"
Maximum Load,"120.67461",N
Extension at Maximum Load,"24.56800",mm
Maximum Slope (Automatic Young's),"6.12002",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"22.73200","11.36701","67.30558"
"22.78400","11.39290","67.43104"
"22.84600","11.42393","67.56328"
"22.88400","11.44300","67.69286"
"22.93000","11.46596","67.82379"
"22.97200","11.48694","67.95489"
"23.00800","11.50494","68.08179"
"23.05200","11.52694","68.20840"
"23.10000","11.55086","68.33447"
"23.14400","11.57292","68.46409"
"23.19400","11.59791","68.58983"
"23.24000","11.62099","68.71919"
"23.28800","11.64503","68.84497"
"23.33600","11.66900","68.97057"
"23.37600","11.68891","69.09983"
"23.40000","11.70087","69.23524"
"23.42200","11.71187","69.36108"
"23.45400","11.72790","69.49435"
"23.48800","11.74500","69.62363"
"23.51000","11.75594","69.74951"
"23.53000","11.76598","69.87498"
"23.56400","11.78290","70.00061"
"23.62200","11.81196","70.12933"
"23.65800","11.83002","70.26066"
"23.71200","11.85692","70.38610"
"23.77200","11.88700","70.51215"
"23.83800","11.91994","70.63975"
"23.90200","11.95187","70.76839"
"23.95600","11.97883","70.89542"
"24.01600","12.00897","71.02064"
"24.07800","12.03994","71.14723"
"24.12800","12.06499","71.27923"
"24.17000","12.08598","71.40786"
"24.24400","12.12293","71.54316"
"24.28200","12.14188","71.67149"
"24.31000","12.15593","71.80544"
"24.34000","12.17094","71.93118"
"24.37600","12.18893","72.06326"
"24.41600","12.20896","72.19030"
"24.45800","12.23001","72.31533"
"24.51000","12.25602","72.44112"
"24.54400","12.27300","72.56625"
"24.58200","12.29195","72.69344"
"24.63400","12.31796","72.81965"
"24.69800","12.34995","72.94491"
"24.75600","12.37894","73.07384"
"24.81800","12.40998","73.20026"
"24.87800","12.43999","73.32807"
"24.94600","12.47401","73.45573"
"24.99400","12.49799","73.58167"
"25.04200","12.52196","73.70881"
"25.08400","12.54295","73.83565"
"25.12000","12.56094","73.96272"
"25.16800","12.58486","74.09102"
"25.21800","12.60985","74.21858"
"25.26000","12.63096","74.34824"
"25.30400","12.65296","74.47469"
"25.37400","12.68800","74.60043"
"25.44600","12.72399","74.72809"
"25.50400","12.75299","74.85326"
"25.56400","12.78294","74.97911"
"25.62200","12.81194","75.10793"
"25.67000","12.83592","75.23328"
"25.71000","12.85600","75.36568"
"25.74800","12.87496","75.49501"
"25.78600","12.89397","75.62441"
"25.82800","12.91490","75.75018"
"25.87600","12.93899","75.87899"
"25.91400","12.95795","76.01150"
"25.95200","12.97696","76.13924"
"25.99400","12.99795","76.27010"
"26.04000","13.02090","76.39701"
"26.08800","13.04494","76.52518"
"26.12400","13.06288","76.65360"
"26.16400","13.08297","76.77876"
"26.20800","13.10503","76.90487"
"26.24400","13.12297","77.03274"
"26.28400","13.14300","77.16268"
"26.33800","13.16990","77.29191"
"26.36800","13.18497","77.41956"
"26.40400","13.20302","77.54547"
"26.44400","13.22287","77.67259"
"26.48800","13.24488","77.80264"
"26.53000","13.26592","77.93439"
"26.56600","13.28398","78.06150"
"26.60200","13.30198","78.18984"
"26.64400","13.32302","78.32095"
"26.67600","13.33904","78.44746"
"26.72800","13.36499","78.57529"
"26.79600","13.39890","78.70260"
"26.86000","13.43094","78.83031"
"26.96000","13.48087","78.90495"
"27.06000","13.53097","79.01307"
"27.16000","13.58095","79.09853"
"27.26000","13.63100","79.21848"
"27.33400","13.66789","79.34509"
"27.39400","13.69790","79.47578"
"27.44400","13.72289","79.60231"
"27.48000","13.74095","79.73520"
"27.52800","13.76499","79.86513"
"27.56000","13.78095","79.99557"
"27.58600","13.79398","80.12250"
"27.61600","13.80899","80.25234"
"27.66000","13.83099","80.37956"
"27.69400","13.84797","80.50644"
"27.73400","13.86794","80.63203"
"27.77400","13.88791","80.75799"
"27.82600","13.91386","80.88651"
"27.86800","13.93497","81.01344"
"27.91200","13.95697","81.13905"
"27.95400","13.97796","81.26743"
"27.99400","13.99804","81.39323"
"28.04600","14.02393","81.52134"
"28.08000","14.04103","81.64698"
"28.12000","14.06100","81.77920"
"28.15400","14.07792","81.90443"
"28.19400","14.09789","82.03264"
"28.22800","14.11481","82.15825"
"28.26000","14.13090","82.28822"
"28.31600","14.15900","82.41781"
"28.36600","14.18393","82.54655"
"28.41000","14.20599","82.67317"
"28.46800","14.23493","82.80173"
"28.52000","14.26100","82.93089"
"28.58000","14.29095","83.06002"
"28.63000","14.31589","83.18860"
"28.68000","14.34094","83.31612"
"28.72800","14.36491","83.44508"
"28.80600","14.40396","83.57143"
"28.87200","14.43696","83.69991"
"28.95400","14.47798","83.82655"
"29.00600","14.50398","83.95562"
"29.07000","14.53585","84.08436"
"29.12400","14.56288","84.21172"
"29.18400","14.59307","84.34091"
"29.23400","14.61806","84.46806"
"29.30400","14.65304","84.59498"
"29.35400","14.67785","84.72162"
"29.43800","14.71994","84.84718"
"29.50400","14.75295","84.97249"
"29.55800","14.77997","85.10203"
"29.63600","14.81896","85.23097"
"29.68600","14.84395","85.35970"
